score,
436,0.094650921
437,0.013460317
438,0.025207756
439,0.125897273
440,0.025504378
441,0.031042129
442,0.025840945
443,0.019202015
444,0.009605911
445,0.120535714
446,0.112683284
447,0.091176471
448,0.046153717
449,0.018708401
450,0.026268116
451,0.105412018
452,0.131362314
453,0.018158604
454,0.016917071
455,0.026500639
456,0.024118738
457,0.019713262
458,0
459,0.020512821
460,0.019426457
461,0.036185061
462,0.026988636
463,0.032933105
464,0.037179487
465,0.020942408
466,0.016703297
467,0.020614955
468,0.017957351
469,0.013811297
470,0.018339921
471,0.046740203
472,0.064814815
473,0.057040998
474,0.028150573
475,0
476,0.0546875
477,0.020440252
478,0.03011583
479,0.024553571
