tweet_id,retweet_count,favourite_count,length_before,length_after,length_ratio,number_of_upper_chars,has_question_marks,number_of_question_marks,has_exclamation_marks,number_of_exclamation_marks,chars_in_desc,chars_in_real_name,chars_in_user_handle,num_matches,total_urls_in_desc,official_url_exists,followers_count,friends_count,listed_count,favourites_count,geo_enabled,acc_life,verified,num_tweets,protected,posting_frequency,activity,avg_likes_per_tweet,follower_friends_ratio,label
1277465947322888192,3,0,140,79,0.5642857142857143,6,0,0,0,0,146,14,13,3,0,0,2150,1663,24,6221,1,3328,0,33253,0,9.99188701923077,0,0.18708086488437134,1.2928442573662056,0
1277465934903439360,50,0,139,114,0.8201438848920863,8,1,1,0,0,116,11,12,3,0,0,111,189,0,296,0,311,0,673,0,2.1639871382636655,3,0.4398216939078752,0.5873015873015873,0
1277465928033202181,23,0,140,123,0.8785714285714286,3,0,0,0,0,104,11,10,4,0,0,68,64,0,423,1,1255,0,719,0,0.5729083665338646,4,0.588317107093185,1.0625,0
1277465927408250881,16,0,140,111,0.7928571428571428,9,0,0,0,0,123,20,7,2,0,0,805,1281,37,107920,1,2571,0,83835,0,32.60793465577596,0,1.2872905111230393,0.6284153005464481,1
1277465764195229698,114,0,140,119,0.85,10,0,0,0,0,0,12,14,3,0,0,115,147,3,47,1,3757,0,526,0,0.14000532339632685,2,0.08935361216730038,0.782312925170068,0
1277465721522450442,37,0,140,121,0.8642857142857143,7,0,0,0,0,15,9,15,2,0,0,124,352,0,2768,0,134,0,8346,0,62.28358208955224,2,0.33165588305775223,0.3522727272727273,0
1277465700882317312,339,0,139,103,0.7410071942446043,8,0,0,0,0,106,12,15,3,0,0,437,976,0,6856,1,1098,0,8041,0,7.323315118397086,0,0.852630269866932,0.44774590163934425,1
1277465668326055936,60,0,139,89,0.6402877697841727,6,0,0,1,1,0,11,10,3,0,0,100,53,0,1302,0,72,0,2205,0,30.625,0,0.5904761904761905,1.8867924528301887,0
1277465641981706241,1,0,140,121,0.8642857142857143,2,0,0,0,0,0,15,15,3,0,0,63,406,0,1277,1,3110,0,1704,0,0.5479099678456592,3,0.7494131455399061,0.15517241379310345,0
1277465574025474048,2,49,145,114,0.7862068965517242,17,0,0,0,0,151,10,13,3,2,1,1368456,80,857,1458,1,3672,1,230888,0,62.87799564270153,0,0.006314750008662208,17105.7,1
1277465518270672896,102,0,140,118,0.8428571428571429,7,0,0,0,0,46,14,12,4,0,0,235,1270,0,38274,0,2674,0,6101,0,2.281600598354525,0,6.273397803638748,0.18503937007874016,1
1277465406358216704,58,0,138,118,0.855072463768116,6,0,0,0,0,15,9,15,2,0,0,124,352,0,2768,0,134,0,8346,0,62.28358208955224,2,0.33165588305775223,0.3522727272727273,0
1277465277828141059,78,0,140,122,0.8714285714285714,10,0,0,0,0,72,16,12,2,0,1,1009,981,16,81533,0,3326,0,41692,0,12.53517739025857,1,1.955602993380025,1.0285423037716617,1
1277465088392224768,0,0,97,73,0.7525773195876289,4,0,0,0,0,45,16,15,3,0,1,105,4,1,1,0,531,0,4957,0,9.335216572504708,0,0.00020173492031470649,26.25,1
1277465074974654465,2,0,140,89,0.6357142857142857,10,0,0,0,0,42,12,9,2,0,0,538,1638,9,59355,0,3781,0,61401,0,16.23935466807723,0,0.9666780671324571,0.32844932844932845,0
1277465041378426881,0,3,253,222,0.8774703557312253,8,0,0,0,0,112,18,15,3,0,0,127,318,0,1242,1,950,0,132,0,0.13894736842105262,36,9.409090909090908,0.39937106918238996,0
1277464989733842946,38,0,140,120,0.8571428571428571,5,0,0,0,0,15,9,15,2,0,0,124,352,0,2768,0,134,0,8346,0,62.28358208955224,2,0.33165588305775223,0.3522727272727273,0
1277464922687864832,5,0,140,120,0.8571428571428571,10,0,0,0,0,135,13,12,3,0,0,42188,443,36,102748,1,2627,1,110805,0,42.179291968024366,0,0.9272866747890438,95.23250564334086,1
1277464881654984704,4,28,237,158,0.6666666666666666,40,0,0,0,0,88,11,12,3,0,0,244229,23,599,1847,1,2782,1,298174,0,107.17972681524084,0,0.006194369730425859,10618.652173913044,1
1277464477131128833,58,0,140,112,0.8,9,0,0,0,0,22,21,15,3,0,0,37,158,0,1653,0,376,0,476,0,1.2659574468085106,0,3.472689075630252,0.23417721518987342,0
1277464415210700800,6,0,140,118,0.8428571428571429,12,0,0,0,0,95,24,7,1,0,0,242,378,0,6199,1,865,0,4627,0,5.349132947976878,0,1.3397449751458828,0.6402116402116402,0
1277464394138439681,0,1,53,39,0.7358490566037735,1,0,0,0,0,69,7,12,2,0,0,482,349,0,98704,1,1996,0,35201,0,17.63577154308617,0,2.8040112496804066,1.3810888252148996,0
1277464339683749889,75,0,138,117,0.8478260869565217,11,0,0,0,0,49,21,14,1,0,0,456,221,0,17031,1,1235,0,17032,0,13.791093117408908,0,0.9999412869891968,2.063348416289593,1
1277464208917970944,26,0,140,117,0.8357142857142857,3,0,0,0,0,16,16,15,2,0,0,466,893,0,25037,0,64,0,28823,0,450.359375,0,0.8686465669777608,0.5218365061590146,0
1277464193348669441,2,0,139,122,0.8776978417266187,10,0,0,0,0,0,10,12,2,0,0,22,18,0,22,0,587,0,35817,0,61.017035775127766,1,0.0006142334645559372,1.2222222222222223,1
1277464166907785216,4,0,140,101,0.7214285714285714,5,0,0,0,0,20,7,15,2,0,0,82,93,0,12,0,65,0,7799,0,119.98461538461538,1,0.0015386588024105655,0.8817204301075269,0
1277464145554784262,8,0,139,100,0.7194244604316546,4,0,0,0,0,10,15,15,2,0,0,420,527,0,9369,0,166,0,7061,0,42.536144578313255,12,1.3268658830194024,0.7969639468690702,0
1277464125489086465,3,0,140,89,0.6357142857142857,10,0,0,0,0,0,14,14,3,0,0,569,593,0,80999,0,883,0,141045,0,159.7338618346546,0,0.5742777127866993,0.9595278246205734,0
1277464046560620545,2,0,140,92,0.6571428571428571,11,0,0,0,0,0,10,12,2,0,0,22,18,0,22,0,587,0,35817,0,61.017035775127766,1,0.0006142334645559372,1.2222222222222223,1
1277463991271321600,1,0,138,117,0.8478260869565217,5,1,2,0,0,73,10,15,3,0,0,1177,1651,0,1255,0,60,0,1496,0,24.933333333333334,14,0.838903743315508,0.7129012719563901,0
1277463943913418755,93,0,140,103,0.7357142857142858,8,0,0,0,0,14,13,12,3,0,0,344,229,0,1339,0,824,0,244,0,0.2961165048543689,3,5.487704918032787,1.502183406113537,1
1277463894768840704,0,0,280,214,0.7642857142857142,8,0,0,1,1,131,13,14,3,0,1,199,172,0,2894,0,2286,0,3314,0,1.4496937882764653,0,0.8732649366324683,1.1569767441860466,1
1277463885402894336,71,0,139,120,0.8633093525179856,10,0,0,0,0,15,9,15,2,0,0,124,352,0,2768,0,134,0,8346,0,62.28358208955224,2,0.33165588305775223,0.3522727272727273,1
1277463814024257536,1,0,140,87,0.6214285714285714,15,0,0,0,0,7,12,15,3,0,0,1,59,0,7,0,100,0,57,0,0.57,6,0.12280701754385964,0.01694915254237288,0
1277463789147848705,1,1,158,131,0.8291139240506329,5,0,0,0,0,140,19,10,3,0,1,2269,1495,2,1559,0,2639,0,26538,0,10.056081849185297,1,0.05874594920491371,1.5177257525083612,1
1277463786186772480,6,0,140,119,0.85,3,0,0,0,0,54,14,13,2,0,0,34,73,0,1116,0,1176,0,587,0,0.4991496598639456,1,1.9011925042589437,0.4657534246575342,0
1277463664350556160,14,0,107,70,0.6542056074766355,5,0,0,0,0,57,20,12,2,0,0,217,734,0,1710,0,191,0,80320,0,420.5235602094241,1,0.021289840637450198,0.2956403269754768,1
