0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1265499005762646022,0,0,282,243,0.8617021276595744,22,0,0,0,0,110,8,13,3,1,1,241,15,2,6,0,842,0,5464,0,6.489311163895487,0,0.0010980966325036604,16.066666666666666,1
1265496913748647937,0,2,192,147,0.765625,24,0,0,0,0,109,8,8,3,1,1,95396,189,246,35,0,2888,1,80164,0,27.757617728531855,0,0.0004366049598323437,504.74074074074076,1
1265494825706586113,16,11,275,232,0.8436363636363636,9,1,1,0,0,95,19,9,2,0,0,83,75,0,179,0,111,0,238,0,2.144144144144144,4,0.7521008403361344,1.1066666666666667,1
1265494731150278656,0,4,158,112,0.7088607594936709,4,0,0,0,0,115,9,11,3,0,0,287,992,0,24232,1,554,0,1388,0,2.5054151624548737,0,17.45821325648415,0.28931451612903225,1
1265493658880671745,0,0,119,93,0.7815126050420168,3,1,1,0,0,117,10,9,3,0,0,12,36,0,2,0,133,0,8904,0,66.94736842105263,0,0.00022461814914645105,0.3333333333333333,1
1265492720166068224,0,3,202,172,0.8514851485148515,26,0,0,0,0,109,8,8,3,1,1,95396,189,246,35,0,2888,1,80164,0,27.757617728531855,0,0.0004366049598323437,504.74074074074076,1
1265491930307342341,0,1,301,113,0.3754152823920266,32,0,0,0,0,144,12,11,3,1,1,740,110,0,10233,1,272,0,7107,0,26.128676470588236,0,1.4398480371464752,6.7272727272727275,1
1265491093585563648,0,4,66,39,0.5909090909090909,9,0,0,0,0,96,17,15,2,0,0,21,560,0,1120,1,558,0,20,0,0.035842293906810034,9,56.0,0.0375,0
1265483898030620672,0,20,119,89,0.7478991596638656,0,0,0,0,0,138,13,12,3,1,1,302957,657,188,39,1,2824,0,104804,0,37.111898016997166,1,0.00037212320140452655,461.12176560121765,1
1265481244038492160,0,0,61,52,0.8524590163934426,3,0,0,0,0,133,48,8,3,0,0,208,2843,3,43388,1,465,0,27887,0,59.972043010752685,0,1.5558503962419765,0.07316215265564545,0
1265480654654828544,0,3,260,248,0.9538461538461539,5,0,0,0,0,0,11,15,2,0,0,4,68,0,59,0,856,0,5,0,0.005841121495327103,74,11.8,0.058823529411764705,1
1265476669034332160,0,0,152,124,0.8157894736842105,7,0,0,0,0,0,8,13,3,0,1,10,60,0,20,0,370,0,5194,0,14.037837837837838,3,0.003850596842510589,0.16666666666666666,1
1265456582470455297,1,28,206,153,0.7427184466019418,40,0,0,0,0,83,10,11,2,0,1,339704,343,327,1755,1,2993,1,147394,0,49.246241229535585,0,0.011906861880402188,990.3906705539358,1
1265434765584465920,0,0,229,201,0.8777292576419214,14,0,0,0,0,67,17,15,3,0,0,8,9,1,0,0,101,0,187,0,1.8514851485148516,2,0.0,0.8888888888888888,1
1265407066396655628,0,0,271,242,0.8929889298892989,18,0,0,0,0,67,17,15,3,0,0,8,9,1,0,0,101,0,187,0,1.8514851485148516,2,0.0,0.8888888888888888,1
1265381697266216960,0,6,197,150,0.7614213197969543,21,0,0,0,0,38,14,11,3,0,0,7861,217,2,17512,1,1430,0,4481,0,3.1335664335664335,0,3.9080562374469983,36.225806451612904,1
1265372077420208129,0,2,101,73,0.7227722772277227,4,0,0,0,0,160,13,12,3,0,1,12460,4,21,0,0,3206,0,203627,0,63.51434809731753,0,0.0,3115.0,1
1265369927826894848,0,1,124,96,0.7741935483870968,15,0,0,0,0,160,13,12,3,0,1,12460,4,21,0,0,3206,0,203627,0,63.51434809731753,0,0.0,3115.0,1
1265366062826090496,0,3,108,81,0.75,9,0,0,0,0,160,13,12,3,0,1,12460,4,21,0,0,3206,0,203627,0,63.51434809731753,0,0.0,3115.0,1
1265361617056944129,0,2,105,81,0.7714285714285715,6,0,0,0,0,134,8,7,3,0,1,932,2648,0,512,0,130,0,503,0,3.8692307692307693,44,1.0178926441351888,0.35196374622356497,0
1265360125809659904,0,3,156,106,0.6794871794871795,11,0,0,1,1,42,15,14,4,0,0,2287,185,0,12703,1,586,0,7969,0,13.598976109215018,0,1.5940519513113314,12.362162162162162,0
1265359685554593794,0,0,70,60,0.8571428571428571,1,0,0,0,0,22,12,15,3,0,0,310,150,0,4224,0,279,0,2176,0,7.799283154121864,4,1.9411764705882353,2.066666666666667,0
1265358282346172416,0,23,190,165,0.868421052631579,4,0,0,0,0,155,16,11,3,0,0,8971,8200,2,10085,0,592,0,11757,0,19.8597972972973,4,0.8577868503870035,1.0940243902439024,0
1265357138555293696,0,0,235,211,0.8978723404255319,4,0,0,0,0,30,12,15,3,0,1,179,319,0,89,0,3480,0,1296,0,0.3724137931034483,29,0.06867283950617284,0.5611285266457681,1
1265356579861196800,0,2,121,94,0.7768595041322314,9,0,0,0,0,160,13,12,3,0,1,12460,4,21,0,0,3206,0,203627,0,63.51434809731753,0,0.0,3115.0,0
1265355962031812608,0,2,174,122,0.7011494252873564,16,0,0,0,0,42,15,14,4,0,0,2287,185,0,12703,1,586,0,7969,0,13.598976109215018,0,1.5940519513113314,12.362162162162162,1
1265355189864722433,0,4,161,110,0.6832298136645962,12,0,0,0,0,42,15,14,4,0,0,2287,185,0,12703,1,586,0,7969,0,13.598976109215018,0,1.5940519513113314,12.362162162162162,1
1265354766386786304,1,3,141,90,0.6382978723404256,12,0,0,0,0,42,15,14,4,0,0,2287,185,0,12703,1,586,0,7969,0,13.598976109215018,0,1.5940519513113314,12.362162162162162,0
